Mid,CF,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,,,,,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,,,,,,,,,,
TRG 1 - Constant,0.48,1604.712479,1604.712479,1604.712479,1604.712479,1604.712479,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,,,,TRG 1 - Low,1605,1509,1470,1428,1381,1329,1274,1215,1154,1090,1023,955,884,788,760,728,722,717,711,705,700,694,689,683,678,672.192425,666.6443623,661.0962997,655.548237,650.0001744,644.4521117,638.9040491,633.3559864,627.8079238,622.2598611
TRG 2 - Constant,0.47,1625.73479,1625.73479,1625.73479,1625.73479,1625.73479,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,,,,TRG 1 - Mid,1604.712479,1583.068969,1562.158149,1541.980017,1522.534575,1503.821821,1485.841756,1468.59438,1452.079693,1436.297694,1421.248385,1406.931764,1393.347833,1380.49659,1368.378036,1356.992171,1346.338995,1336.418508,1327.230709,1318.7756,1311.053179,1304.063447,1297.806405,1292.282051,1287.490386,1283.431409,1280.105122,1277.511524,1275.650614,1274.522393,1274.126861,1274.464019,1275.533864,1277.336399,1279.871623
TRG 3 - Constant,0.45,1636.698082,1636.698082,1636.698082,1636.698082,1636.698082,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,,,,TRG 1 - Constant,1604.712479,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773,1675.102773
TRG 4 - Constant,0.44,1645.259425,1645.259425,1645.259425,1645.259425,1645.259425,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,1709.734862,,,,TRG 2 - Low,1625.73479,1530.736403,1492.804284,1450.534724,1404.174047,1352.182618,1296.721616,1237.881,1175.912021,1111.065929,1043.593972,973.7474005,901.7774646,804.313832,776.0900726,743.2628638,737.6857689,732.1086741,726.5315792,720.9544844,715.3773895,709.8002947,704.2231999,698.646105,693.0690102,687.4919153,681.9148205,676.3377256,670.7606308,665.183536,659.6064411,654.0293463,648.4522514,642.8751566,637.2980617
TRG 5 - Constant,0.41,1663.418263,1663.418263,1663.418263,1663.418263,1663.418263,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,1720.976079,,,,TRG 2 - Mid,1625.73479,1604.394637,1583.778373,1563.885998,1544.717514,1526.272919,1508.552214,1491.555398,1475.282473,1459.733437,1444.908291,1430.807035,1417.429668,1404.776191,1392.846604,1381.640907,1371.159099,1361.401181,1352.367153,1344.057015,1336.470766,1329.608407,1323.469938,1318.055358,1313.364669,1309.397869,1306.154959,1303.635938,1301.840808,1300.769567,1300.422216,1300.798754,1301.899182,1303.7235,1306.271708
TRG 6 - Constant,0.37,1702.934101,1702.934101,1702.934101,1702.934101,1702.934101,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,1748.951948,,,,TRG 2 - Constant,1625.73479,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873,1695.767873
TRG 7 - Constant,0.31,1751.460897,1751.460897,1751.460897,1751.460897,1751.460897,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,1787.17941,,,,TRG 3 - Low,1636.698082,1550.767362,1517.268364,1478.165618,1433.80963,1370.653451,1306.712666,1241.823181,1175.984998,1109.198116,1041.462535,972.7782557,903.145277,810.0615982,783.5259848,752.9522128,748.1997273,743.4472418,738.6947563,733.9422708,729.1897853,724.4372998,719.6848143,714.9323288,710.1798433,705.4273578,700.6748723,695.9223868,691.1699013,686.4174159,681.6649304,676.9124449,672.1599594,667.4074739,662.6549884
TRG 8 - Constant,0.25,1789.74153,1789.74153,1789.74153,1789.74153,1789.74153,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,1819.231566,,,,TRG 3 - Mid,1636.698082,1617.463712,1598.894856,1580.991515,1563.753689,1547.181379,1531.274583,1516.033302,1501.457536,1487.547286,1474.30255,1461.723329,1449.809623,1438.561433,1427.978757,1418.061596,1408.80995,1400.22382,1392.303204,1385.048103,1378.458517,1372.534447,1367.275891,1362.68285,1358.755324,1355.493314,1352.896818,1350.965837,1349.700371,1349.100421,1349.165985,1349.897064,1351.293659,1353.355768,1356.083392
TRG 9 - Constant,0.19,1820.901518,1820.901518,1820.901518,1820.901518,1820.901518,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,1824.748531,,,,TRG 3 - Constant,1636.698082,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242,1703.080242
