Column,Fuel,Technology,Inputactivity,ModeofOperation
,EL2_1,TRLV_1,1,1
,EL2_2,TRLV_2,1,1
,EL2_3,TRLV_3,1,1
,EL2_4,TRLV_4,1,1
,EL2_5,TRLV_5,1,1
,SO,SO_1,1,1
,SO,SO_2,1,1
,SO,SO_3,1,1
,SO,SO_4,1,1
